,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,862,952,952,"1,222","1,276","1,320","1,473","1,811","2,591","2,502","2,031","2,190","2,317"
Expenses +,824,885,908,"1,161","1,219","1,241","1,410","1,745","2,469","2,352","1,936","2,020","2,143"
Operating Profit,38,66,44,61,57,79,63,66,122,150,95,170,174
OPM %,4%,7%,5%,5%,4%,6%,4%,4%,5%,6%,5%,8%,8%
Other Income +,13,1,3,1,17,4,18,34,2,16,16,30,11
Interest,12,13,13,12,12,11,13,14,25,30,25,29,35
Depreciation,6,10,11,12,17,15,14,11,18,31,31,35,35
Profit before tax,33,45,23,38,46,57,54,74,81,106,55,136,116
Tax %,7%,25%,36%,23%,13%,17%,21%,14%,4%,17%,23%,22%,
Net Profit,31,34,15,29,40,47,43,64,77,88,42,106,94
EPS in Rs,3.21,3.51,1.55,3.09,4.21,4.97,4.41,6.68,8.13,9.32,4.50,11.15,9.94
