,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,584,635,635,805,752,834,"1,326","1,269","1,003","1,447","2,132","2,183"
Expenses +,541,614,604,773,704,759,"1,219","1,169",950,"1,257","1,836","1,871"
Operating Profit,44,20,31,32,48,75,108,100,53,190,296,312
OPM %,7%,3%,5%,4%,6%,9%,8%,8%,5%,13%,14%,14%
Other Income +,5,3,1,1,2,4,2,3,4,6,6,6
Interest,8,8,6,8,8,9,14,25,17,9,7,8
Depreciation,1,2,2,3,5,5,5,6,7,8,8,9
Profit before tax,39,13,23,22,37,66,90,72,32,180,286,302
Tax %,22%,8%,22%,18%,31%,33%,32%,27%,10%,25%,20%,
Net Profit,31,12,18,18,25,44,61,52,29,135,230,242
EPS in Rs,4.75,1.84,2.92,2.93,4.16,7.24,10.08,8.58,4.76,22.37,38.08,40.07
