,Mar 2009,Mar 2010,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2021,Mar 2022,TTM
Sales +,59,80,80,82,106,142,141,161,163,198,322,299,328
Expenses +,48,53,54,56,77,104,120,137,159,185,253,254,268
Operating Profit,12,26,25,26,29,38,21,24,4,13,69,45,60
OPM %,19%,33%,32%,31%,28%,27%,15%,15%,2%,7%,22%,15%,18%
Other Income +,1,2,1,-0,15,4,3,5,3,2,-0,11,5
Interest,2,2,1,1,2,9,8,7,6,7,16,10,11
Depreciation,1,2,2,2,3,4,10,10,9,10,12,12,13
Profit before tax,9,24,23,23,39,29,6,12,-8,-2,41,33,40
Tax %,35%,23%,21%,18%,22%,29%,29%,21%,83%,115%,20%,10%,
Net Profit,6,19,18,19,30,20,4,10,-1,0,33,30,35
EPS in Rs,1.74,5.14,4.93,5.08,8.25,5.57,1.17,2.60,-0.36,0.07,8.97,8.18,9.61
