,Mar 2008,Mar 2009,Mar 2010,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019
Sales +,208,191,190,182,217,235,247,270,594,"2,523","4,112","2,761"
Expenses +,214,191,188,172,207,227,235,254,577,"2,510","4,088","2,745"
Operating Profit,-6,-0,2,9,10,8,12,16,16,14,24,16
OPM %,-3%,-0%,1%,5%,5%,4%,5%,6%,3%,1%,1%,1%
Other Income +,26,5,10,1,3,7,1,1,5,2,5,4
Interest,6,5,7,6,7,10,7,7,6,3,1,0
Depreciation,5,5,4,4,5,6,6,7,9,6,5,4
Profit before tax,9,-6,1,1,1,-1,1,3,7,7,23,16
Tax %,26%,-14%,344%,-153%,1%,-722%,3%,28%,26%,35%,35%,43%
Net Profit,6,-6,-2,1,1,-4,1,2,5,4,15,9
EPS in Rs,3.55,-3.63,-0.87,0.84,0.74,-2.38,0.33,1.27,2.65,3.04,8.68,5.29
