,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,132.46,142.15,81.86,62.40,51.09,33.80,65.48,90.68,99.35
Expenses +,128.76,139.00,79.52,60.58,48.01,32.78,64.43,88.20,97.08
Operating Profit,3.70,3.15,2.34,1.82,3.08,1.02,1.05,2.48,2.27
OPM %,2.79%,2.22%,2.86%,2.92%,6.03%,3.02%,1.60%,2.73%,2.28%
Other Income +,0.10,0.13,0.21,0.20,0.67,0.67,0.38,0.17,0.35
Interest,2.60,1.95,1.58,0.88,1.01,0.96,0.82,1.05,0.73
Depreciation,0.36,0.43,0.41,0.41,0.42,0.44,0.52,0.79,0.79
Profit before tax,0.84,0.90,0.56,0.73,2.32,0.29,0.09,0.81,1.10
Tax %,14.29%,51.11%,39.29%,35.62%,27.16%,24.14%,-66.67%,37.04%,
Net Profit,0.73,0.44,0.34,0.47,1.69,0.23,0.14,0.51,0.70
EPS in Rs,0.58,0.35,0.20,0.27,0.99,0.13,0.08,0.30,0.41
