,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,"3,045","3,361","3,622","4,074","4,561","4,112","3,882","2,066","2,488","2,154","2,097","2,688","3,058"
Expenses +,"2,492","2,926","3,006","3,357","3,845","3,771","3,493","2,253","2,512","1,922","1,818","2,304","2,618"
Operating Profit,553,435,616,717,717,341,389,-188,-24,232,279,384,439
OPM %,18%,13%,17%,18%,16%,8%,10%,-9%,-1%,11%,13%,14%,14%
Other Income +,42,63,89,82,-63,32,120,77,17,537,29,66,59
Interest,190,264,338,440,522,547,564,92,114,74,57,42,33
Depreciation,201,223,264,333,418,308,300,60,61,64,68,70,68
Profit before tax,204,11,104,27,-287,-481,-355,-264,-181,630,183,338,397
Tax %,31%,42%,21%,50%,12%,11%,-1%,-2%,126%,33%,20%,16%,
Net Profit,140,7,82,13,-251,-428,-358,-268,49,421,152,291,337
EPS in Rs,4.50,0.12,2.59,0.35,-8.31,-14.10,-11.78,-8.90,1.57,13.74,4.91,9.56,11.05
