,Mar 2010,Jun 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,TTM
Sales +,"2,237","3,942","1,858","2,592","1,618","1,675","1,683","1,221",995,219,215,221,198
Expenses +,"1,913","3,338","1,741","2,440","1,441","2,201","2,778","1,378","1,122",633,520,185,196
Operating Profit,324,605,117,152,178,-526,"-1,095",-157,-127,-414,-304,36,2
OPM %,14%,15%,6%,6%,11%,-31%,-65%,-13%,-13%,-189%,-141%,16%,1%
Other Income +,138,272,-1,40,23,77,-904,34,-718,20,298,35,818
Interest,155,486,452,567,582,517,610,547,19,17,19,21,22
Depreciation,59,104,102,178,126,133,101,47,17,5,5,5,5
Profit before tax,247,286,-438,-552,-508,"-1,098","-2,709",-718,-881,-415,-30,46,793
Tax %,16%,26%,-4%,-1%,-6%,-0%,-0%,1%,0%,-0%,0%,0%,
Net Profit,206,198,-459,-554,-562,"-1,115","-2,868",-994,-454,-415,-30,46,793
EPS in Rs,21.31,20.38,-47.20,-35.32,-35.69,-70.88,-182.31,-63.19,-28.89,-26.39,-1.91,2.91,50.41
