,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,"2,862","3,444","3,743","4,066","4,189","4,023","4,021","4,104","4,512","4,463","1,575","3,056","4,482"
Expenses +,"2,436","2,894","3,202","3,504","3,762","3,411","3,411","3,432","3,682","3,496","1,937","2,651","3,329"
Operating Profit,427,550,542,562,427,612,610,671,830,968,-362,405,"1,153"
OPM %,15%,16%,14%,14%,10%,15%,15%,16%,18%,22%,-23%,13%,26%
Other Income +,118,65,-374,-497,-193,-43,44,83,90,173,325,171,167
Interest,294,212,171,169,176,376,324,269,190,341,403,428,326
Depreciation,228,255,288,308,291,285,299,301,328,404,410,406,407
Profit before tax,23,148,-292,-412,-232,-91,31,184,402,396,-850,-258,586
Tax %,396%,82%,-34%,-27%,-49%,-99%,372%,66%,39%,11%,18%,14%,
Net Profit,-76,41,-389,-536,-347,-203,-46,104,296,364,-796,-265,478
EPS in Rs,-0.86,0.03,-4.00,-5.14,-3.51,-1.75,-0.48,0.76,2.17,2.68,-5.45,-1.74,3.16
