,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,186,244,274,309,339,315,304,300,357,349,280,388,446
Expenses +,159,200,242,273,317,286,278,281,332,330,263,364,420
Operating Profit,27,45,32,36,22,29,26,18,25,19,17,24,26
OPM %,15%,18%,12%,12%,7%,9%,9%,6%,7%,5%,6%,6%,6%
Other Income +,6,5,3,1,8,-0,3,1,0,1,2,0,7
Interest,2,4,6,7,5,4,4,4,5,8,5,5,6
Depreciation,5,7,10,12,15,14,14,14,13,14,13,12,13
Profit before tax,26,39,18,18,11,10,11,1,7,-2,1,7,14
Tax %,32%,33%,34%,39%,19%,24%,35%,197%,26%,232%,-127%,23%,
Net Profit,18,26,12,11,9,8,7,-1,5,3,2,6,10
EPS in Rs,132.30,194.33,87.90,81.38,66.53,59.33,51.68,-5.63,39.98,22.28,12.53,43.20,77.64
