,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,"16,408","19,582","20,025","20,137","21,595","22,574","21,755","25,210","30,358","29,919","27,741","33,145","35,204"
Expenses +,"13,229","15,901","16,370","15,974","17,467","17,781","17,326","20,364","25,160","24,809","22,803","27,886","29,436"
Operating Profit,"3,179","3,681","3,656","4,163","4,128","4,793","4,429","4,846","5,198","5,109","4,938","5,259","5,768"
OPM %,19%,19%,18%,21%,19%,21%,20%,19%,17%,17%,18%,16%,16%
Other Income +,"1,386",502,790,674,228,"1,194","1,468","1,404","2,028","1,832","1,570","2,671","2,007"
Interest,2,23,1,1,6,1,1,1,4,3,7,9,20
Depreciation,124,147,168,181,267,307,307,315,266,246,259,270,275
Profit before tax,"4,438","4,013","4,277","4,655","4,083","5,679","5,588","5,933","6,956","6,692","6,241","7,652","7,480"
Tax %,23%,25%,29%,31%,31%,28%,27%,29%,29%,22%,22%,19%,
Net Profit,"3,455","3,048","3,133","3,380","3,026","4,061","4,079","4,219","4,928","5,212","4,857","6,166","5,839"
EPS in Rs,119.39,105.35,108.26,116.82,104.56,140.35,140.98,145.80,170.29,180.11,167.85,213.08,201.77
