,Mar 2006,Mar 2007,Mar 2008,Mar 2009,Mar 2010,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,TTM
Sales +,"4,994","8,338","11,810","13,645","15,480","18,188","21,840","25,490","25,669","26,251","22,923","14,513"
Expenses +,"4,448","7,304","10,912","13,130","14,147","15,683","18,854","21,658","21,046","20,814","16,781","11,128"
Operating Profit,547,"1,034",898,514,"1,334","2,505","2,987","3,832","4,623","5,437","6,142","3,385"
OPM %,11%,12%,8%,4%,9%,14%,14%,15%,18%,21%,27%,23%
Other Income +,79,129,255,353,353,99,201,348,346,388,829,572
Interest,117,387,476,721,662,571,869,"1,359","1,588","1,798","2,339","2,494"
Depreciation,225,423,525,696,866,941,"1,092","1,295","1,609","1,703","1,727",204
Profit before tax,283,354,152,-549,158,"1,091","1,226","1,526","1,772","2,325","2,905","1,259"
Tax %,33%,32%,83%,-15%,72%,17%,18%,22%,31%,36%,30%,
Net Profit,189,243,26,-630,44,908,"1,010","1,184","1,222","1,491","2,033",956
EPS in Rs,,30.11,15.87,-45.87,15.01,72.43,78.43,88.09,87.85,108.80,144.84,70.35
