,Mar 2011,Mar 2012,Mar 2013,Sep 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,384,386,459,661,250,420,432,370,391,367,392,511,500
Expenses +,426,388,491,637,228,387,414,438,375,344,374,475,476
Operating Profit,-42,-2,-32,25,21,33,19,-68,16,23,18,36,24
OPM %,-11%,-1%,-7%,4%,9%,8%,4%,-18%,4%,6%,5%,7%,5%
Other Income +,14,21,5,-78,6,0,90,76,9,84,2,77,80
Interest,47,40,37,48,19,32,36,31,40,33,23,21,18
Depreciation,16,17,23,23,5,9,10,10,10,10,10,11,12
Profit before tax,-91,-39,-87,-125,4,-7,62,-32,-25,65,-12,81,74
Tax %,8%,0%,-0%,-2%,28%,0%,1%,1%,1%,0%,-2%,-0%,
Net Profit,-84,-39,-87,-128,3,-7,62,-32,-25,64,-13,81,75
EPS in Rs,-57.04,-22.38,-50.19,-63.95,1.60,-3.58,26.71,-13.49,-10.48,25.79,-5.04,24.94,22.90
