,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,108,213,292,330,310,384,495,655,526,597,719,855
Expenses +,112,196,269,302,281,346,441,582,474,540,650,785
Operating Profit,-4,17,23,28,29,39,54,73,52,57,69,71
OPM %,-4%,8%,8%,8%,9%,10%,11%,11%,10%,10%,10%,8%
Other Income +,17,0,0,-2,0,1,1,1,2,10,2,1
Interest,6,8,11,10,9,7,8,16,21,18,22,26
Depreciation,1,2,2,6,3,3,4,5,5,6,7,7
Profit before tax,6,7,10,10,17,29,43,53,28,44,42,39
Tax %,27%,31%,41%,38%,36%,35%,31%,38%,20%,32%,26%,
Net Profit,5,5,6,6,11,19,30,33,22,30,31,29
EPS in Rs,0.48,0.51,0.60,0.63,1.11,0.94,1.11,1.25,0.84,1.04,1.10,0.99
