,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,215,238,220,226,327,500,642,603,490,360,387,660,667
Expenses +,192,223,203,209,311,486,612,640,491,361,404,643,653
Operating Profit,23,15,18,17,16,15,30,-37,-1,-1,-17,16,14
OPM %,11%,6%,8%,7%,5%,3%,5%,-6%,-0%,-0%,-4%,2%,2%
Other Income +,2,2,3,8,5,5,21,33,29,27,311,58,62
Interest,10,12,10,15,23,41,58,60,65,64,62,32,33
Depreciation,5,5,6,7,10,21,29,27,33,33,36,33,32
Profit before tax,9,1,4,2,-12,-41,-36,-91,-70,-71,197,9,11
Tax %,40%,-9%,35%,32%,29%,3%,-0%,-0%,-0%,-0%,0%,0%,
Net Profit,6,-0,2,1,-9,-40,-36,-91,-70,-71,196,9,11
EPS in Rs,1.74,-0.58,0.33,0.52,-4.12,-18.93,-14.69,-35.40,-28.74,-29.03,60.75,2.91,3.53
