,Mar 2007,Mar 2008,Mar 2009,Mar 2010,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,TTM
Sales +,161,236,279,349,551,541,331,71,50,30,7,4
Expenses +,132,181,224,255,402,407,239,585,133,49,9,67
Operating Profit,28,55,54,94,148,134,91,-514,-83,-19,-2,-64
OPM %,18%,23%,20%,27%,27%,25%,28%,-725%,-165%,-63%,-29%,"-1,768%"
Other Income +,1,9,10,1,5,4,6,2,0,0,0,0
Interest,5,17,25,25,41,52,27,6,62,0,0,0
Depreciation,4,12,24,31,37,54,39,33,48,1,1,2
Profit before tax,21,36,15,40,75,33,32,-551,-193,-20,-3,-65
Tax %,13%,24%,33%,18%,15%,-12%,18%,1%,3%,1%,3%,
Net Profit,18,27,10,33,64,37,26,-545,-187,-20,-2,-65
EPS in Rs,,2.83,1.03,3.22,5.97,3.40,2.13,-44.00,-15.12,-1.58,-0.20,-5.26
