,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,453,535,588,753,800,710,666,650,694,609,537,650,739
Expenses +,411,477,529,665,718,639,625,604,635,563,488,593,687
Operating Profit,42,58,58,88,82,71,41,45,59,46,49,58,52
OPM %,9%,11%,10%,12%,10%,10%,6%,7%,9%,8%,9%,9%,7%
Other Income +,4,5,5,5,8,11,11,15,7,13,8,9,17
Interest,10,17,19,25,21,22,21,20,19,17,11,10,12
Depreciation,9,10,12,14,14,15,16,16,15,15,15,14,15
Profit before tax,27,35,33,54,55,45,16,25,32,27,30,42,41
Tax %,34%,31%,32%,31%,35%,38%,47%,29%,34%,2%,19%,26%,
Net Profit,18,25,22,37,36,28,8,18,21,26,28,36,33
EPS in Rs,16.43,22.53,20.24,33.63,32.37,25.32,7.59,15.99,18.96,23.80,25.38,32.24,27.31
