,Mar 2006,Mar 2007,Mar 2008,Mar 2009,Mar 2010,Mar 2011,Mar 2012,Mar 2013
Sales +,47,245,190,248,241,88,63,52
Expenses +,49,208,191,206,252,109,74,69
Operating Profit,-2,37,-1,42,-11,-21,-11,-17
OPM %,-5%,15%,-0%,17%,-4%,-24%,-17%,-32%
Other Income +,3,3,4,3,10,-19,5,7
Interest,0,1,1,4,12,12,20,16
Depreciation,1,2,1,5,3,6,7,7
Profit before tax,-0,38,2,36,-16,-58,-33,-33
Tax %,95%,10%,255%,52%,-23%,5%,-10%,3%
Net Profit,-0,34,-2,17,-19,-55,-36,-32
EPS in Rs,,2.66,-0.19,1.40,-1.54,-4.43,-2.90,-2.57
