,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,126,142,215,263,290,303,232,318,335,313,269,302,449
Expenses +,129,136,191,233,252,265,238,315,322,306,237,272,405
Operating Profit,-3,6,25,30,38,37,-6,3,12,7,32,31,44
OPM %,-2%,5%,11%,11%,13%,12%,-3%,1%,4%,2%,12%,10%,10%
Other Income +,10,-2,7,1,16,13,23,20,9,21,13,8,3
Interest,9,12,12,8,5,3,5,5,4,6,4,4,6
Depreciation,7,9,18,13,13,12,12,13,11,14,21,24,10
Profit before tax,-9,-16,1,10,35,35,0,5,6,8,21,10,30
Tax %,-2%,33%,29%,29%,27%,30%,-567%,72%,20%,38%,21%,28%,
Net Profit,-9,-11,1,7,26,25,2,1,5,5,16,7,22
EPS in Rs,-3.43,-4.19,0.38,2.73,9.67,9.32,0.62,0.47,1.84,1.78,6.19,2.82,8.41
