,Mar 2006,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,87,444,466,460,503,530,303,608,722
Expenses +,68,340,368,362,391,435,284,508,583
Operating Profit,20,104,99,98,112,95,19,100,139
OPM %,23%,23%,21%,21%,22%,18%,6%,16%,19%
Other Income +,1,7,17,21,22,18,17,17,14
Interest,1,3,3,5,7,9,7,5,5
Depreciation,2,4,5,6,8,8,7,7,8
Profit before tax,18,104,108,108,119,96,23,105,140
Tax %,34%,34%,31%,33%,33%,24%,12%,22%,
Net Profit,12,68,75,73,80,73,20,82,107
EPS in Rs,,11.03,12.10,11.88,13.03,11.86,3.21,13.25,17.31
