,Mar 2007,Mar 2008,Mar 2009,Mar 2010,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Sep 2015
Share Capital +,35.33,38.33,38.33,38.33,38.33,38.33,38.33,38.33,38.33,38.33
Reserves,45.25,62.86,67.07,68.96,69.67,55.51,-7.60,-35.31,-36.07,-36.96
Borrowings +,6.19,11.57,14.02,17.15,20.31,16.41,16.08,15.97,15.49,15.57
Other Liabilities +,6.84,4.38,6.12,6.29,6.38,6.88,6.26,6.51,6.82,7.32
Total Liabilities,93.61,117.14,125.54,130.73,134.69,117.13,53.07,25.50,24.57,24.26
Fixed Assets +,10.02,11.75,15.20,13.99,30.89,26.17,20.98,3.99,3.71,3.51
CWIP,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Investments,0.22,0.00,0.00,0.00,0.00,0.05,0.00,0.00,0.00,0.00
Other Assets +,83.37,105.39,110.34,116.74,103.80,90.91,32.09,21.51,20.86,20.75
Total Assets,93.61,117.14,125.54,130.73,134.69,117.13,53.07,25.50,24.57,24.26
