,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,665,"1,003",919,986,"1,012","1,024",915,917,"1,141","1,102","1,305","2,333","3,021"
Expenses +,613,911,834,907,919,910,846,865,"1,062","1,024","1,192","2,140","2,769"
Operating Profit,52,93,85,79,93,114,69,52,79,78,112,194,253
OPM %,8%,9%,9%,8%,9%,11%,8%,6%,7%,7%,9%,8%,8%
Other Income +,25,44,31,23,34,18,22,27,32,30,26,36,24
Interest,0,1,2,1,2,2,1,1,1,3,3,3,3
Depreciation,11,16,22,24,38,25,22,24,23,22,22,23,25
Profit before tax,66,119,92,77,86,105,68,53,88,83,113,205,248
Tax %,13%,41%,23%,27%,9%,22%,34%,26%,22%,15%,28%,27%,
Net Profit,57,70,72,57,78,82,45,39,68,70,81,150,184
EPS in Rs,3.13,3.73,3.83,3.08,4.30,4.63,2.49,2.18,3.73,3.85,4.42,8.18,10.03
