,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,822,"1,057","1,140",517,324,309,269,259,289,294,143,150,148
Expenses +,663,786,963,698,295,254,232,221,263,202,58,71,92
Operating Profit,158,272,177,-182,29,55,37,38,26,93,85,79,56
OPM %,19%,26%,15%,-35%,9%,18%,14%,15%,9%,32%,59%,53%,38%
Other Income +,3,7,1,-194,-4,-220,-17,411,76,-65,15,579,677
Interest,47,106,251,366,404,343,295,316,276,336,232,162,135
Depreciation,18,31,60,84,101,92,108,102,94,143,73,72,77
Profit before tax,96,142,-133,-825,-480,-601,-383,31,-268,-451,-205,424,521
Tax %,15%,15%,4%,-3%,1%,-1%,-0%,1%,-0%,-2%,-0%,0%,
Net Profit,82,121,-127,-846,-474,-604,-383,31,-268,-462,-205,424,520
EPS in Rs,13.95,20.54,-20.54,-126.11,-37.21,-38.65,-24.50,1.36,-10.98,-17.91,-7.83,16.16,19.83
