,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,317,371,341,362,384,388,325,393,483,385,444,577,610
Expenses +,280,327,300,322,345,344,293,354,433,349,389,504,531
Operating Profit,36,44,41,40,39,43,31,39,50,37,56,73,79
OPM %,11%,12%,12%,11%,10%,11%,10%,10%,10%,9%,13%,13%,13%
Other Income +,5,2,5,12,9,4,11,18,18,12,33,18,17
Interest,17,20,21,19,19,18,16,14,16,16,13,12,11
Depreciation,11,11,10,10,10,15,12,14,18,19,23,23,23
Profit before tax,14,16,14,22,19,14,14,28,34,14,52,56,63
Tax %,10%,7%,4%,12%,26%,32%,15%,18%,23%,10%,24%,20%,
Net Profit,13,14,14,19,14,10,12,23,26,12,39,45,49
EPS in Rs,10.20,11.65,11.24,15.64,11.44,7.87,9.90,18.55,21.37,9.88,31.70,36.36,39.49
