,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,954,"1,179","1,340","1,706","2,232","2,527","3,386","4,471","5,908","6,222","6,374","8,313","10,028"
Expenses +,870,"1,141","1,254","1,628","2,078","2,290","3,012","3,935","5,182","5,549","5,649","7,428","8,933"
Operating Profit,84,38,86,78,154,238,374,535,726,673,725,885,"1,095"
OPM %,9%,3%,6%,5%,7%,9%,11%,12%,12%,11%,11%,11%,11%
Other Income +,15,46,19,18,33,19,14,70,26,5,49,63,62
Interest,17,20,19,24,25,26,40,35,63,94,74,62,62
Depreciation,34,40,46,59,83,93,136,165,234,340,375,392,411
Profit before tax,48,25,39,13,79,139,212,405,455,244,325,494,683
Tax %,26%,1%,28%,59%,25%,20%,22%,24%,29%,28%,31%,30%,
Net Profit,36,28,28,6,68,123,185,331,339,188,248,413,607
EPS in Rs,0.88,0.58,0.57,0.15,1.38,2.25,3.34,5.73,5.25,2.85,3.80,6.23,9.70
