,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,210,394,466,"1,441","1,639","1,769","1,817","1,614","1,977","1,936","1,040","1,460","2,146"
Expenses +,70,184,202,762,877,978,961,830,975,963,539,725,971
Operating Profit,141,210,263,679,762,790,856,784,"1,001",973,501,735,"1,175"
OPM %,67%,53%,57%,47%,47%,45%,47%,49%,51%,50%,48%,50%,55%
Other Income +,29,46,51,47,-63,-11,39,50,125,60,86,74,659
Interest,23,95,143,345,396,443,424,349,351,348,348,295,304
Depreciation,31,56,47,105,168,177,195,198,204,208,209,186,196
Profit before tax,115,105,124,275,136,159,276,287,572,478,29,328,"1,334"
Tax %,28%,18%,34%,33%,36%,48%,31%,26%,19%,26%,-16%,24%,
Net Profit,81,96,82,182,91,84,191,256,497,388,48,268,"1,210"
EPS in Rs,5.81,7.29,5.81,8.87,2.44,8.43,10.97,15.83,27.47,21.81,3.35,13.30,62.27
