,Mar 2006,Mar 2007,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,208,260,"1,488","1,745","1,871","2,107","2,073","2,194","2,722","2,934"
Expenses +,189,234,"1,301","1,527","1,621","1,811","1,807","1,872","2,296","2,497"
Operating Profit,19,26,187,218,251,296,266,322,427,437
OPM %,9%,10%,13%,12%,13%,14%,13%,15%,16%,15%
Other Income +,2,1,6,3,141,25,13,41,35,34
Interest,7,8,6,11,7,8,8,6,7,6
Depreciation,2,2,21,26,26,26,37,40,44,47
Profit before tax,12,16,167,184,359,286,234,317,411,418
Tax %,40%,30%,31%,18%,27%,33%,21%,25%,26%,
Net Profit,7,11,116,151,263,192,185,237,305,308
EPS in Rs,,,8.28,10.78,19.01,13.88,13.39,17.08,21.99,22.20
