,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,"27,501","33,734","40,352","50,133","53,319","62,441","68,484","70,522","82,675","90,791","100,472","121,641","141,602"
Expenses +,"18,531","23,007","28,814","36,743","38,436","45,362","49,880","51,700","62,505","68,524","72,583","90,150","107,623"
Operating Profit,"8,970","10,727","11,538","13,390","14,883","17,079","18,604","18,822","20,170","22,267","27,889","31,491","33,979"
OPM %,33%,32%,29%,27%,28%,27%,27%,27%,24%,25%,28%,26%,24%
Other Income +,"1,211","1,904","2,365","2,664","3,430","3,120","3,050","3,311","2,882","2,803","2,201","2,295","2,666"
Interest,2,4,5,9,12,0,0,0,0,170,195,200,252
Depreciation,854,928,"1,099","1,317","1,017","1,459","1,703","1,863","2,011","2,893","3,267","3,476","3,994"
Profit before tax,"9,325","11,699","12,799","14,728","17,284","18,740","19,951","20,270","21,041","22,007","26,628","30,110","32,399"
Tax %,27%,29%,26%,28%,28%,28%,28%,21%,27%,24%,27%,26%,
Net Profit,"6,835","8,332","9,429","10,656","12,372","13,489","14,353","16,029","15,410","16,639","19,423","22,146","23,669"
EPS in Rs,14.88,18.14,20.52,23.31,26.93,29.36,31.24,36.69,35.26,38.96,45.42,52.56,56.27
