,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,261,306,320,382,372,385,421,367,312,299,330,414,417
Expenses +,238,286,300,350,386,381,409,362,330,336,332,423,428
Operating Profit,24,20,20,32,-14,4,12,6,-19,-37,-2,-8,-11
OPM %,9%,6%,6%,8%,-4%,1%,3%,2%,-6%,-12%,-0%,-2%,-3%
Other Income +,41,14,11,11,46,22,42,28,40,29,31,34,24
Interest,18,17,12,12,11,10,9,7,6,8,8,8,7
Depreciation,5,5,5,5,7,7,7,7,7,7,7,6,6
Profit before tax,42,13,14,26,14,10,38,20,7,-23,14,11,-0
Tax %,0%,2%,19%,12%,7%,11%,16%,32%,24%,5%,-46%,109%,
Net Profit,57,26,24,35,46,21,45,22,6,-22,35,-5,-12
EPS in Rs,1.79,0.79,0.75,1.08,1.38,0.63,0.93,0.46,0.11,-0.44,0.72,-0.11,-0.25
