,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,"4,726","5,272","6,308","8,254","9,471","9,477","11,179","12,808","14,721","14,471","10,359","12,789","14,697"
Expenses +,"3,765","4,523","5,452","7,385","8,528","8,289","9,805","11,400","13,159","13,014","8,994","11,387","13,167"
Operating Profit,961,749,855,869,944,"1,187","1,374","1,408","1,562","1,457","1,366","1,402","1,530"
OPM %,20%,14%,14%,11%,10%,13%,12%,11%,11%,10%,13%,11%,10%
Other Income +,102,41,56,73,94,59,102,21,148,40,132,"3,725","3,893"
Interest,16,19,12,14,9,79,153,114,117,108,37,64,70
Depreciation,90,108,122,140,155,175,226,267,344,418,394,440,471
Profit before tax,957,663,777,787,874,992,"1,097","1,048","1,249",972,"1,068","4,623","4,882"
Tax %,31%,30%,31%,31%,29%,29%,27%,34%,32%,22%,25%,6%,
Net Profit,624,449,551,546,616,700,804,694,847,762,803,"4,357","4,574"
EPS in Rs,7.28,5.25,6.46,6.41,7.23,8.20,9.42,8.13,9.95,9.14,9.53,51.38,53.91
