,Mar 2011,Jun 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,"2,195","2,956","1,545","1,972","1,506","1,220","1,702","2,389","3,077","2,912","2,785","4,644","5,479"
Expenses +,"1,852","2,905","1,624","1,946","1,537","1,379","1,815","2,482","3,054","2,876","2,689","4,435","5,268"
Operating Profit,343,50,-80,26,-31,-159,-113,-93,24,36,96,209,211
OPM %,16%,2%,-5%,1%,-2%,-13%,-7%,-4%,1%,1%,3%,4%,4%
Other Income +,23,25,22,23,32,16,21,-22,36,49,10,29,40
Interest,161,327,185,345,384,425,46,34,112,103,88,99,96
Depreciation,86,144,92,143,134,122,118,107,102,97,94,91,94
Profit before tax,118,-395,-334,-440,-518,-690,-256,-257,-154,-114,-76,48,62
Tax %,35%,28%,33%,24%,22%,0%,0%,0%,0%,0%,0%,0%,
Net Profit,78,-283,-224,-333,-406,-690,-256,-257,-154,-114,-76,48,62
EPS in Rs,12.16,-44.31,-35.04,-49.52,-55.04,-88.68,-29.64,-26.63,-15.94,-10.35,-6.86,4.35,5.32
