,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022
Sales +,482,333,327,274,263,260,230,224,32,32,12,8
Expenses +,433,319,341,349,248,296,249,225,50,47,24,24
Operating Profit,50,14,-14,-75,14,-36,-19,-1,-18,-15,-12,-15
OPM %,10%,4%,-4%,-27%,5%,-14%,-8%,-1%,-55%,-46%,-97%,-177%
Other Income +,1,0,0,107,1,2,3,2,1,0,0,52
Interest,29,48,56,60,70,70,86,98,96,110,125,106
Depreciation,13,14,23,19,31,23,25,24,69,17,17,40
Profit before tax,9,-49,-93,-47,-86,-127,-127,-121,-181,-142,-154,-109
Tax %,46%,-10%,-16%,3%,22%,8%,8%,8%,18%,20%,21%,30%
Net Profit,5,-53,-108,-45,-68,-117,-118,-112,-148,-114,-122,-76
EPS in Rs,1.71,-20.64,-41.69,-15.15,-22.69,-39.09,-39.52,-37.50,-49.61,-38.26,-40.82,-25.61
