,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,"1,153","1,794","2,129","2,335","2,656","2,952","3,056","3,108","3,966","4,182","3,781","4,244","4,789"
Expenses +,985,"1,545","1,828","1,977","2,264","2,513","2,674","2,743","3,487","3,675","3,097","3,587","4,249"
Operating Profit,168,249,300,358,392,439,382,365,479,507,685,656,541
OPM %,15%,14%,14%,15%,15%,15%,12%,12%,12%,12%,18%,15%,11%
Other Income +,14,30,3,30,27,54,24,74,93,88,-24,138,148
Interest,4,9,10,10,11,11,9,23,37,61,54,35,30
Depreciation,29,33,33,38,42,65,49,65,89,159,175,185,196
Profit before tax,150,236,261,340,366,417,349,352,445,376,433,574,462
Tax %,12%,33%,33%,30%,28%,30%,32%,30%,28%,28%,29%,27%,
Net Profit,132,159,175,238,265,292,238,246,319,272,307,422,339
EPS in Rs,6.08,7.31,8.01,10.86,11.94,12.97,10.47,10.74,13.93,11.69,13.30,18.40,14.95
