,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,204,223,239,263,360,441,449,469,542,569,626,531,488
Expenses +,171,212,248,245,292,360,439,392,453,465,453,532,578
Operating Profit,33,11,-9,18,68,81,10,77,89,104,173,-1,-90
OPM %,16%,5%,-4%,7%,19%,18%,2%,16%,16%,18%,28%,-0%,-18%
Other Income +,10,11,8,8,4,3,10,10,10,9,14,9,5
Interest,14,3,6,12,12,4,3,2,5,13,10,7,6
Depreciation,25,28,33,38,45,46,48,50,51,66,69,75,77
Profit before tax,4,-9,-41,-23,15,33,-30,34,42,34,108,-73,-168
Tax %,49%,5%,0%,-4%,16%,27%,136%,66%,60%,68%,47%,1%,
Net Profit,2,-9,-41,-24,13,24,11,12,17,11,57,-73,-163
EPS in Rs,1.00,-3.83,-17.14,-9.94,5.19,8.05,3.51,3.70,5.35,3.32,18.16,-23.81,-52.76
