,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,"1,301","1,549","1,697","1,677","1,693","1,551","1,606","1,567","1,804","1,966","2,255","2,364","2,663"
Expenses +,"1,052","1,357","1,381","1,365","1,351","1,268","1,215","1,303","1,561","1,645","1,865","1,944","2,237"
Operating Profit,250,192,317,312,342,283,391,264,243,321,390,420,425
OPM %,19%,12%,19%,19%,20%,18%,24%,17%,13%,16%,17%,18%,16%
Other Income +,8,-9,-2,-90,15,13,20,11,29,25,31,19,156
Interest,50,46,53,37,39,37,37,35,46,65,54,46,47
Depreciation,37,37,40,49,52,53,57,55,57,81,83,81,82
Profit before tax,170,100,222,136,266,206,318,186,170,200,284,311,453
Tax %,36%,16%,29%,24%,36%,39%,34%,-1%,37%,30%,26%,25%,
Net Profit,110,84,150,80,170,125,210,187,107,141,212,233,346
EPS in Rs,3.88,4.35,6.22,4.36,6.45,4.42,8.09,5.71,3.68,4.41,7.16,7.91,14.58
