,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,"4,293","5,543","6,866","7,799","9,101","7,454","8,365","9,076","10,848","11,291","9,334","14,130","16,005"
Expenses +,"4,080","5,276","6,491","7,343","8,615","7,061","7,708","8,805","10,233","10,479","9,020","13,083","14,735"
Operating Profit,213,267,375,455,487,392,657,271,615,812,314,"1,047","1,270"
OPM %,5%,5%,5%,6%,5%,5%,8%,3%,6%,7%,3%,7%,8%
Other Income +,252,190,220,201,317,255,520,915,"1,142",996,"1,015","1,132","1,100"
Interest,88,111,110,119,192,343,402,413,508,491,469,623,754
Depreciation,55,56,59,70,93,117,148,175,163,234,242,274,290
Profit before tax,323,290,426,467,519,187,626,597,"1,086","1,083",617,"1,282","1,325"
Tax %,23%,33%,32%,37%,26%,58%,27%,19%,20%,25%,37%,23%,
Net Profit,361,352,467,469,589,323,459,484,864,812,391,992,"1,082"
EPS in Rs,,,11.66,9.72,11.98,4.78,7.63,10.05,17.53,16.46,9.94,19.42,21.74
