,Mar 2006,Mar 2007,Mar 2008,Mar 2009,Mar 2010,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016
Sales +,137.21,228.10,218.72,245.95,253.67,272.98,111.01,19.15,13.17,11.34,13.11
Expenses +,130.71,211.42,202.54,235.77,238.65,263.70,144.84,21.61,18.98,26.89,13.89
Operating Profit,6.50,16.68,16.18,10.18,15.02,9.28,-33.83,-2.46,-5.81,-15.55,-0.78
OPM %,4.74%,7.31%,7.40%,4.14%,5.92%,3.40%,-30.47%,-12.85%,-44.12%,-137.13%,-5.95%
Other Income +,1.83,1.72,-5.97,1.48,1.55,4.46,0.16,1.27,0.09,0.03,0.08
Interest,5.33,6.41,6.27,7.89,9.65,9.94,8.25,8.99,0.27,0.02,0.02
Depreciation,1.87,3.66,4.81,4.47,3.92,2.74,0.95,0.82,0.71,1.00,0.47
Profit before tax,1.13,8.33,-0.87,-0.70,3.00,1.06,-42.87,-11.00,-6.70,-16.54,-1.19
Tax %,-20.35%,11.28%,-149.43%,-121.43%,21.33%,20.75%,0.02%,0.00%,0.00%,0.00%,0.00%
Net Profit,1.36,7.39,-2.17,-1.55,2.36,0.84,-42.86,-11.00,-6.70,-16.55,-1.18
EPS in Rs,0.83,4.52,-1.33,-0.92,1.40,0.50,-25.44,-6.53,-3.98,-9.82,-0.70
