,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,"1,412","1,766","1,927","1,979","2,036","2,310","2,549","2,546","2,640","2,038","2,418","3,106"
Expenses +,"1,342","1,680","1,838","1,889","1,916","2,159","2,373","2,447","2,525","1,967","2,333","3,009"
Operating Profit,70,87,89,90,120,152,175,99,115,71,85,98
OPM %,5%,5%,5%,5%,6%,7%,7%,4%,4%,4%,4%,3%
Other Income +,0,0,1,1,1,1,1,9,5,6,3,4
Interest,23,35,42,47,46,51,46,47,43,33,24,24
Depreciation,3,5,6,9,10,11,14,15,25,24,17,16
Profit before tax,45,48,42,35,65,90,116,46,51,20,46,61
Tax %,31%,33%,32%,35%,37%,35%,36%,29%,22%,31%,25%,
Net Profit,31,32,29,23,41,59,74,33,40,14,34,47
EPS in Rs,14.71,15.03,13.13,10.32,18.62,25.72,32.29,14.33,17.45,6.06,15.02,20.40
