,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,108,131,157,202,227,287,305,223,229,205,75,53,53
Expenses +,87,107,128,159,180,228,274,394,200,172,88,63,72
Operating Profit,20,23,29,42,47,59,31,-171,29,33,-13,-10,-19
OPM %,19%,18%,19%,21%,21%,20%,10%,-77%,13%,16%,-17%,-19%,-36%
Other Income +,1,4,5,2,7,8,13,14,20,-5,38,13,11
Interest,0,0,0,0,4,3,14,23,20,24,17,11,8
Depreciation,8,8,9,13,9,16,19,21,18,43,26,15,11
Profit before tax,13,19,25,32,41,48,11,-202,11,-39,-18,-23,-28
Tax %,38%,33%,30%,35%,29%,32%,46%,35%,20%,-18%,-69%,-12%,
Net Profit,8,13,18,21,29,32,6,-132,9,-46,-30,-26,-30
EPS in Rs,,,4.56,5.29,7.47,8.12,1.47,-18.36,1.26,-6.36,-4.19,-3.53,-4.14
