,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,"1,252","1,271","1,649","1,851","1,602","1,426","1,751","2,117"
Expenses +,"1,164","1,170","1,515","1,698","1,443","1,326","1,616","1,922"
Operating Profit,89,101,135,154,158,100,135,195
OPM %,7%,8%,8%,8%,10%,7%,8%,9%
Other Income +,4,17,19,57,19,27,3,19
Interest,13,11,8,16,22,29,22,23
Depreciation,38,41,48,60,64,65,64,71
Profit before tax,41,65,98,134,92,33,53,120
Tax %,10%,16%,27%,23%,22%,45%,23%,
Net Profit,52,54,71,104,72,18,41,88
EPS in Rs,55.66,58.16,76.34,111.03,76.92,19.42,43.56,94.23
