,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,469,554,752,824,748,458,515,578,661,653,549,783,951
Expenses +,355,407,582,654,653,580,609,575,605,705,495,671,840
Operating Profit,114,147,171,170,95,-122,-94,3,56,-52,54,112,111
OPM %,24%,26%,23%,21%,13%,-27%,-18%,1%,8%,-8%,10%,14%,12%
Other Income +,2,2,2,4,2,3,2,33,5,485,11,24,23
Interest,39,56,64,64,97,125,157,152,184,129,71,62,54
Depreciation,13,22,24,25,28,39,38,37,37,33,33,33,33
Profit before tax,64,70,85,85,-28,-283,-288,-153,-160,271,-39,41,48
Tax %,38%,33%,29%,31%,-44%,0%,3%,1%,0%,1%,0%,-10%,
Net Profit,40,47,61,58,-40,-282,-280,-151,-160,270,-38,45,48
EPS in Rs,3.43,4.08,4.97,4.71,-3.22,-22.58,-22.41,-12.11,-12.75,21.56,-3.06,2.85,3.04
