,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,"1,022","1,248","1,281","1,052",950,701,889,"1,049","1,245","1,225","1,145","1,806","2,044"
Expenses +,963,"1,187","1,287","1,053",976,704,821,956,"1,154","1,132",975,"1,558","1,858"
Operating Profit,58,61,-6,-1,-26,-4,68,93,92,93,170,248,186
OPM %,6%,5%,-0%,-0%,-3%,-1%,8%,9%,7%,8%,15%,14%,9%
Other Income +,28,11,24,15,13,73,28,15,10,17,35,18,21
Interest,29,32,32,32,20,15,34,7,7,9,7,6,7
Depreciation,38,37,39,30,21,18,16,22,20,22,23,24,22
Profit before tax,19,3,-52,-49,-54,37,46,79,75,79,175,236,178
Tax %,-0%,16%,42%,38%,34%,0%,71%,32%,23%,20%,28%,26%,
Net Profit,23,-0,-34,-35,-43,37,13,53,57,63,126,175,130
EPS in Rs,2.58,-0.03,-3.78,-3.90,-4.74,4.10,1.49,5.93,6.34,7.03,14.03,19.49,14.44
