,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,546,520,475,458,428,483,467,503,504,492,445,434,437
Expenses +,450,443,433,405,745,436,417,434,433,404,314,305,317
Operating Profit,97,76,42,53,-317,47,50,69,71,88,131,129,120
OPM %,18%,15%,9%,12%,-74%,10%,11%,14%,14%,18%,29%,30%,27%
Other Income +,18,26,18,32,544,249,53,36,46,36,29,35,22
Interest,1,1,0,0,0,0,0,0,0,1,0,0,0
Depreciation,32,22,19,13,11,7,7,6,7,11,10,7,7
Profit before tax,81,80,40,72,216,290,96,100,111,112,149,158,136
Tax %,10%,20%,20%,29%,45%,29%,12%,17%,18%,30%,23%,19%,
Net Profit,73,64,32,51,120,206,85,82,90,79,115,128,108
EPS in Rs,27.98,24.61,15.18,24.19,56.01,116.42,49.50,48.17,52.85,52.38,76.11,85.21,71.84
