,Mar 2008,Mar 2009,Mar 2010,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,TTM
Sales +,528,693,860,"1,521","2,004","2,563","3,153","2,778","2,235","1,131",696
Expenses +,461,604,743,"1,335","1,781","2,331","2,871","2,715","2,242","1,778","1,041"
Operating Profit,66,90,117,185,224,232,282,63,-8,-647,-344
OPM %,13%,13%,14%,12%,11%,9%,9%,2%,-0%,-57%,-49%
Other Income +,2,2,1,1,3,15,8,-15,15,125,32
Interest,15,22,24,27,53,92,123,177,235,191,26
Depreciation,3,5,7,20,25,34,36,51,58,94,97
Profit before tax,51,64,87,140,149,121,131,-179,-286,-808,-435
Tax %,10%,12%,29%,21%,16%,14%,15%,-3%,5%,2%,
Net Profit,46,56,62,110,126,104,111,-184,-273,-805,-413
EPS in Rs,14.63,,,22.26,25.31,20.98,20.54,-34.15,-47.86,-29.84,-15.31
