,Mar 2006,Mar 2007,Mar 2008,Mar 2009,Mar 2010,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016
Sales +,388,582,746,"1,081","1,166",947,883,993,"1,125","1,249",962
Expenses +,227,319,451,598,667,667,600,704,690,821,740
Operating Profit,162,263,294,483,498,280,283,288,435,428,222
OPM %,42%,45%,39%,45%,43%,30%,32%,29%,39%,34%,23%
Other Income +,3,8,91,61,7,125,181,278,48,29,-354
Interest,17,36,68,107,116,161,247,271,268,392,391
Depreciation,45,71,99,115,141,199,202,291,244,224,186
Profit before tax,103,164,219,322,248,46,15,4,-29,-160,-710
Tax %,5%,11%,8%,15%,19%,46%,348%,"1,300%",-134%,-7%,2%
Net Profit,97,145,202,275,201,25,-37,-47,-68,-171,-693
EPS in Rs,,38.09,52.90,74.06,53.99,7.05,-10.01,-7.00,-18.16,-47.71,-186.20
