,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,"1,806","2,086","2,485","2,877","3,090","3,347","3,891","4,123","5,514","6,300","7,143","8,184","9,042"
Expenses +,"1,284","1,569","1,942","2,190","2,394","2,957","2,912","3,294","4,121","4,725","5,562","6,418","7,264"
Operating Profit,522,517,543,687,696,390,980,829,"1,394","1,575","1,581","1,766","1,779"
OPM %,29%,25%,22%,24%,23%,12%,25%,20%,25%,25%,22%,22%,20%
Other Income +,100,62,255,56,158,639,173,228,340,228,260,99,200
Interest,23,12,8,2,9,29,26,62,71,65,58,68,75
Depreciation,152,174,179,204,221,249,277,385,448,552,715,814,866
Profit before tax,447,392,610,538,624,751,850,610,"1,215","1,186","1,068",983,"1,037"
Tax %,16%,14%,16%,20%,15%,19%,19%,26%,17%,27%,21%,22%,
Net Profit,375,338,513,431,528,609,688,453,"1,003",871,846,772,753
EPS in Rs,3.06,2.82,4.24,3.45,4.14,4.59,5.10,3.10,7.54,6.24,6.17,5.40,5.14
