,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,720,879,"1,151","1,596","1,940","2,096","2,277","2,277","2,841","3,366","4,577","5,300","6,065"
Expenses +,603,733,969,"1,300","1,558","1,661","1,722","1,781","2,261","2,647","3,559","4,150","4,679"
Operating Profit,117,146,183,295,382,435,555,496,580,720,"1,018","1,150","1,386"
OPM %,16%,17%,16%,19%,20%,21%,24%,22%,20%,21%,22%,22%,23%
Other Income +,10,36,8,11,35,34,36,60,58,50,129,105,111
Interest,20,21,24,14,12,12,9,7,7,19,34,20,31
Depreciation,16,17,22,32,50,54,73,83,93,137,175,202,216
Profit before tax,91,143,145,261,355,403,510,466,538,614,938,"1,033","1,250"
Tax %,29%,28%,33%,28%,31%,23%,10%,21%,24%,26%,21%,18%,
Net Profit,65,104,97,188,246,312,459,368,410,457,738,844,"1,024"
EPS in Rs,5.82,8.27,7.18,13.81,18.00,22.72,33.39,26.66,29.72,33.06,48.66,55.62,67.51
