,Dec 2008,Dec 2009,Dec 2010,Dec 2011,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,TTM
Sales +,120.26,178.06,193.58,165.78,82.44,70.27,39.09,13.01,4.86,0.09,3.18
Expenses +,106.11,149.04,158.86,135.90,78.42,56.49,27.03,20.00,11.11,23.02,3.39
Operating Profit,14.15,29.02,34.72,29.88,4.02,13.78,12.06,-6.99,-6.25,-22.93,-0.21
OPM %,11.77%,16.30%,17.94%,18.02%,4.88%,19.61%,30.85%,-53.73%,-128.60%,"-25,477.78%",-6.60%
Other Income +,0.13,0.04,0.11,0.38,11.80,9.59,1.88,3.14,4.88,21.94,0.00
Interest,1.66,3.32,6.06,8.70,5.36,14.46,12.56,0.05,0.10,0.03,0.00
Depreciation,0.22,0.27,0.33,0.35,0.50,0.51,0.69,0.68,0.48,0.55,0.24
Profit before tax,12.40,25.47,28.44,21.21,9.96,8.40,0.69,-4.58,-1.95,-1.57,-0.45
Tax %,27.18%,19.79%,33.40%,32.11%,2.71%,2.38%,21.74%,6.99%,0.00%,33.76%,
Net Profit,9.03,20.43,18.94,14.40,9.68,8.20,0.53,-4.26,-1.94,-1.03,-0.44
EPS in Rs,,0.38,0.32,0.24,0.16,0.14,0.01,-0.07,-0.03,-0.02,-0.01
