,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,"4,368","4,615","5,842","8,089","12,103","13,772","14,910","16,463","19,564","23,099","24,775","23,455","23,787"
Expenses +,"3,405","4,050","4,965","5,951","9,524","10,579","11,469","12,691","15,612","18,249","19,497","19,100","20,085"
Operating Profit,963,565,877,"2,137","2,579","3,193","3,441","3,772","3,952","4,849","5,278","4,356","3,702"
OPM %,22%,12%,15%,26%,21%,23%,23%,23%,20%,21%,21%,19%,16%
Other Income +,61,-300,12,18,81,200,115,105,70,166,"3,195",192,84
Interest,65,277,267,310,160,257,67,78,263,305,74,49,65
Depreciation,172,201,249,313,333,392,428,558,668,967,"1,055","1,127","1,130"
Profit before tax,788,-213,374,"1,533","2,168","2,744","3,061","3,241","3,091","3,743","7,344","3,373","2,590"
Tax %,29%,42%,22%,24%,28%,26%,25%,25%,24%,24%,27%,22%,
Net Profit,563,-124,291,"1,169","1,571","2,024","2,301","2,423","2,364","2,844","5,334","2,647","2,111"
EPS in Rs,9.68,-2.12,5.05,20.12,26.98,34.61,39.29,41.36,40.36,48.56,91.05,45.20,36.03
