,Dec 2010,Dec 2011,Dec 2012,Dec 2013,Dec 2014,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,27,27,27,27,27,27,27,27,27,27,27,27,27
Reserves,"1,205","1,466","1,728","2,028","2,489","3,626","5,318","7,003","8,891","9,954","11,411","12,581","13,250"
Borrowings +,96,43,23,84,58,23,112,151,187,249,219,108,168
Other Liabilities +,"1,636","2,257","2,694","3,197","3,829","1,263","1,552","2,341","2,281","2,220","2,901","3,485","3,787"
Total Liabilities,"2,963","3,793","4,471","5,337","6,403","4,939","7,009","9,522","11,387","12,450","14,559","16,201","17,232"
Fixed Assets +,384,504,992,"1,656","2,309",790,873,"1,502","1,875","2,378","2,433","2,424","2,902"
CWIP,70,352,504,464,419,94,374,333,450,312,314,505,81
Investments,459,513,638,825,"1,078","3,388","4,987","5,581","4,923","5,749","3,902","7,721","8,954"
Other Assets +,"2,050","2,424","2,337","2,391","2,597",667,775,"2,106","4,140","4,011","7,909","5,551","5,296"
Total Assets,"2,963","3,793","4,471","5,337","6,403","4,939","7,009","9,522","11,387","12,450","14,559","16,201","17,232"
