,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,"1,378","2,065","2,542","2,664","2,470","2,544","2,472","2,888","3,407","3,866","3,844","5,519","6,508"
Expenses +,"1,261","1,917","2,427","2,528","2,260","2,279","2,160","2,519","2,958","3,423","3,407","5,037","5,901"
Operating Profit,117,148,115,136,210,265,312,369,449,444,438,482,607
OPM %,8%,7%,5%,5%,8%,10%,13%,13%,13%,11%,11%,9%,9%
Other Income +,4,11,7,9,13,8,-21,17,24,27,25,-14,9
Interest,34,54,62,87,168,241,236,236,247,282,279,300,261
Depreciation,40,47,55,61,65,89,87,100,110,155,181,207,215
Profit before tax,48,58,6,-3,-11,-56,-32,50,115,33,3,-39,141
Tax %,25%,22%,-39%,-225%,-131%,-18%,-34%,47%,34%,96%,864%,147%,
Net Profit,35,45,9,-11,-24,-66,-43,27,77,1,-26,18,108
EPS in Rs,2.11,2.69,0.51,-0.63,-1.45,-3.95,-2.56,1.60,4.56,0.07,-1.56,1.08,6.41
