,Mar 2009,Mar 2010,Mar 2011,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,19.75,27.63,28.14,46.21,78.76,114.50,116.35,141.43,145.60,104.19,88.59
Expenses +,23.71,34.79,31.19,42.69,71.46,100.28,97.33,135.19,132.90,100.06,89.70
Operating Profit,-3.96,-7.16,-3.05,3.52,7.30,14.22,19.02,6.24,12.70,4.13,-1.11
OPM %,-20.05%,-25.91%,-10.84%,7.62%,9.27%,12.42%,16.35%,4.41%,8.72%,3.96%,-1.25%
Other Income +,1.98,0.78,-1.48,1.51,0.88,0.23,2.65,9.98,8.83,2.10,3.39
Interest,0.14,0.28,0.13,2.48,2.52,2.08,3.51,2.77,1.60,1.11,1.15
Depreciation,1.44,1.62,1.88,1.27,1.20,5.79,5.86,6.81,4.63,4.72,3.59
Profit before tax,-3.56,-8.28,-6.54,1.28,4.46,6.58,12.30,6.64,15.30,0.40,-2.46
Tax %,-45.22%,-15.94%,11.93%,-38.28%,36.32%,32.67%,36.26%,37.65%,16.86%,-70.00%,
Net Profit,-5.17,-9.60,-5.76,1.77,2.84,4.42,7.84,4.13,12.72,0.67,-2.08
EPS in Rs,-3.61,-10.47,-7.51,1.01,1.57,2.21,3.93,2.07,6.37,0.34,-1.04
