,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,302,260,255,252,266,277,303,489,694
Expenses +,262,215,223,232,252,235,238,370,559
Operating Profit,39,45,31,20,14,42,66,119,135
OPM %,13%,17%,12%,8%,5%,15%,22%,24%,19%
Other Income +,2,2,2,3,1,4,5,4,5
Interest,13,8,5,3,1,0,0,3,8
Depreciation,22,22,22,14,2,2,2,6,22
Profit before tax,7,17,7,6,12,44,68,114,110
Tax %,46%,36%,-25%,33%,32%,27%,25%,25%,
Net Profit,11,15,19,11,12,37,63,98,95
EPS in Rs,4.51,6.10,7.66,4.66,4.97,15.16,25.46,39.74,38.46
