,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,38.74,42.80,41.45,35.18,43.76,76.44,77.93,57.16,58.53,56.88,70.94,73.43
Expenses +,31.87,40.58,33.88,34.34,44.46,74.55,76.59,56.02,56.40,54.58,66.04,66.08
Operating Profit,6.87,2.22,7.57,0.84,-0.70,1.89,1.34,1.14,2.13,2.30,4.90,7.35
OPM %,17.73%,5.19%,18.26%,2.39%,-1.60%,2.47%,1.72%,1.99%,3.64%,4.04%,6.91%,10.01%
Other Income +,0.70,0.63,1.09,1.13,11.72,3.78,0.49,2.30,1.11,1.94,1.20,1.34
Interest,2.67,2.88,2.86,2.50,1.63,1.29,1.27,1.48,1.46,2.03,1.48,1.60
Depreciation,0.87,1.18,1.22,1.55,1.49,1.43,1.70,3.54,3.62,3.14,2.67,2.15
Profit before tax,4.03,-1.21,4.58,-2.08,7.90,2.95,-1.14,-1.58,-1.84,-0.93,1.95,4.94
Tax %,19.85%,10.74%,46.07%,37.02%,50.00%,11.86%,14.91%,30.38%,0.00%,19.35%,0.00%,
Net Profit,3.08,-0.62,3.99,0.00,3.95,2.59,-0.97,-1.10,-1.84,-0.75,1.94,5.09
EPS in Rs,7.42,-1.49,9.61,0.00,9.51,6.24,-2.34,-2.37,-3.65,-1.81,2.52,8.46
