,Mar 2007,Mar 2008,Mar 2009,Mar 2010,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017
Sales +,543,851,"1,166","1,525","1,772","2,067","2,412","2,302","1,098",435,247
Expenses +,473,744,"1,017","1,327","1,527","1,748","2,070","2,024","1,128",594,"1,050"
Operating Profit,70,107,149,199,245,319,342,278,-30,-159,-803
OPM %,13%,13%,13%,13%,14%,15%,14%,12%,-3%,-36%,-325%
Other Income +,10,12,16,13,16,18,19,16,20,-29,-37
Interest,12,21,44,62,96,159,195,264,292,346,325
Depreciation,6,8,16,18,19,22,29,26,33,24,14
Profit before tax,62,91,105,132,147,156,137,3,-334,-557,"-1,179"
Tax %,39%,34%,33%,35%,34%,32%,24%,-105%,-2%,-0%,1%
Net Profit,38,60,70,86,96,106,104,6,-342,-557,"-1,170"
EPS in Rs,,,,11.56,12.96,14.37,13.98,0.84,-46.12,-46.08,-96.77
