,Mar 2008,Mar 2009,Mar 2010,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016
Sales +,193,200,213,128,115,80,63,88,118
Expenses +,178,187,198,115,114,80,65,88,115
Operating Profit,15,13,15,13,1,-0,-2,-0,4
OPM %,8%,6%,7%,10%,1%,-0%,-3%,-0%,3%
Other Income +,1,2,1,-1,7,5,4,5,6
Interest,3,4,4,5,3,3,2,1,0
Depreciation,2,2,2,1,0,0,0,0,0
Profit before tax,11,8,10,7,4,1,1,3,9
Tax %,29%,2%,13%,1%,10%,-22%,45%,-10%,-2%
Net Profit,8,8,9,7,4,1,0,4,9
EPS in Rs,0.26,0.27,0.31,0.13,0.09,0.02,0.00,0.06,0.12
