,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,724,891,782,624,761,959,"1,714","1,268","1,559","1,766","1,521","1,931","2,003"
Expenses +,609,754,736,619,721,929,"1,605","1,365","1,550","1,740","1,440","1,798","1,856"
Operating Profit,116,137,46,5,40,30,108,-97,9,27,81,133,147
OPM %,16%,15%,6%,1%,5%,3%,6%,-8%,1%,2%,5%,7%,7%
Other Income +,13,14,27,20,-0,20,24,25,25,34,25,23,22
Interest,9,16,22,14,18,17,31,44,65,88,81,93,86
Depreciation,8,11,15,18,26,46,52,51,24,29,30,33,29
Profit before tax,112,124,36,-7,-4,-13,50,-167,-56,-57,-6,29,54
Tax %,35%,32%,38%,-58%,-177%,-52%,45%,12%,59%,36%,-237%,102%,
Net Profit,73,84,22,-10,-10,-20,27,-147,-23,-36,-19,-1,21
EPS in Rs,7.58,8.29,2.35,-0.89,-0.33,-1.69,2.33,-12.43,-2.47,-2.96,-1.26,-0.03,2.16
