,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,501,"1,505","1,450","1,584","1,626","1,490","1,506","1,321","1,500","1,230","1,118","1,253","1,263"
Expenses +,421,"1,363","1,312","1,418","1,471","1,346","1,339","1,190","1,326","1,071",991,"1,098","1,082"
Operating Profit,80,142,138,166,155,144,167,131,174,159,127,155,181
OPM %,16%,9%,10%,10%,10%,10%,11%,10%,12%,13%,11%,12%,14%
Other Income +,2,8,5,14,29,5,1,5,7,18,6,8,7
Interest,27,71,85,103,83,75,80,76,81,83,72,62,61
Depreciation,25,43,46,51,51,52,53,47,49,80,78,77,76
Profit before tax,30,35,12,26,50,21,36,13,50,14,-16,25,50
Tax %,29%,30%,197%,47%,43%,41%,45%,94%,45%,-184%,-34%,38%,
Net Profit,22,25,-12,14,29,12,20,1,27,39,-22,15,41
EPS in Rs,40.04,45.51,-21.50,24.86,45.18,19.36,30.94,1.14,43.32,61.60,-34.49,24.40,65.05
