,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,579,626,748,810,803,"1,024","1,672","1,515"
Expenses +,511,574,651,710,733,723,"1,143","1,191"
Operating Profit,68,52,97,100,70,302,529,323
OPM %,12%,8%,13%,12%,9%,29%,32%,21%
Other Income +,9,18,3,27,5,-8,11,20
Interest,3,2,3,2,6,5,9,9
Depreciation,6,8,9,11,14,21,20,22
Profit before tax,69,60,88,113,54,268,511,312
Tax %,31%,37%,34%,33%,14%,25%,25%,
Net Profit,48,38,58,77,47,201,381,232
EPS in Rs,2.79,2.20,3.37,4.45,2.71,11.70,22.16,13.49
