,Mar 2007,Mar 2008,Mar 2009,Mar 2010,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018
Sales +,186,628,139,138,194,485,158,108,59,456,105,103
Expenses +,90,358,125,149,144,346,51,26,51,397,29,32
Operating Profit,96,270,14,-11,51,138,107,82,8,59,76,72
OPM %,52%,43%,10%,-8%,26%,29%,68%,76%,13%,13%,72%,69%
Other Income +,4,10,15,1,59,-24,-81,36,49,-6,-26,0
Interest,0,2,0,1,5,11,21,21,3,0,0,0
Depreciation,2,2,1,1,2,2,2,2,3,3,2,2
Profit before tax,98,276,27,-12,104,101,3,95,50,50,47,70
Tax %,0%,10%,13%,-1%,21%,21%,126%,23%,21%,26%,-40%,40%
Net Profit,97,250,24,-12,82,79,-1,63,29,37,66,42
EPS in Rs,3.79,9.73,0.93,-0.46,3.20,3.08,-0.04,2.45,1.14,1.42,2.57,1.64
