,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,"1,256","1,430","1,669","1,789","1,646","1,926","1,871","2,055","1,723","1,143","1,438","1,356","1,298"
Expenses +,896,"1,043","1,287","1,436","1,516","1,754","1,761","1,903","1,763","1,101","1,243","1,288","1,181"
Operating Profit,360,388,381,353,130,172,110,152,-41,42,195,68,117
OPM %,29%,27%,23%,20%,8%,9%,6%,7%,-2%,4%,14%,5%,9%
Other Income +,32,34,34,42,43,88,184,382,523,73,20,10,13
Interest,42,57,51,60,72,109,136,180,338,227,205,165,167
Depreciation,38,37,39,38,77,102,104,102,84,78,90,75,73
Profit before tax,313,328,325,297,25,49,55,252,61,-189,-80,-162,-110
Tax %,20%,10%,13%,12%,-38%,29%,-18%,13%,36%,22%,34%,-12%,
Net Profit,246,291,280,261,33,35,64,219,39,-148,-52,-181,-144
EPS in Rs,22.52,26.30,25.03,23.49,2.85,2.56,5.35,19.00,3.05,-14.15,-5.02,-17.32,-13.78
