,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,512,567,664,918,"1,123","1,330","1,651","1,825"
Expenses +,403,450,593,833,872,953,"1,126","1,293"
Operating Profit,109,118,71,85,251,377,524,533
OPM %,21%,21%,11%,9%,22%,28%,32%,29%
Other Income +,5,3,37,6,5,9,27,49
Interest,37,32,88,49,44,37,22,20
Depreciation,36,35,40,56,71,70,73,98
Profit before tax,41,53,-20,-15,141,279,457,464
Tax %,32%,37%,-126%,-223%,18%,26%,25%,
Net Profit,28,33,-46,-49,115,205,344,353
EPS in Rs,3.78,4.55,-6.61,-6.40,16.00,25.93,41.57,41.09
