,Dec 2010,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,"2,863","4,280","3,926","4,859","5,629","5,641","5,583","6,049","6,895","7,346","10,498","20,072","22,620"
Expenses +,"2,601","3,756","3,566","4,464","5,147","5,131","5,110","5,657","6,438","6,831","9,855","18,542","20,800"
Operating Profit,263,524,360,396,482,509,473,392,457,515,643,"1,530","1,820"
OPM %,9%,12%,9%,8%,9%,9%,8%,6%,7%,7%,6%,8%,8%
Other Income +,36,45,66,36,53,35,46,27,37,97,-35,183,159
Interest,19,64,45,61,60,46,37,35,36,75,143,120,121
Depreciation,55,134,147,175,157,201,166,159,156,232,306,343,360
Profit before tax,224,371,234,196,317,297,315,225,302,305,159,"1,250","1,499"
Tax %,21%,20%,22%,21%,22%,17%,25%,23%,18%,23%,40%,23%,
Net Profit,176,299,183,154,249,248,238,174,248,234,95,965,"1,106"
EPS in Rs,6.36,10.90,6.71,5.92,9.52,9.52,9.44,6.97,9.85,9.08,7.04,37.68,43.02
