,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,43,66,88,148,343,717,939,"1,170",837,591,613,422,433
Expenses +,33,53,82,149,338,682,921,"1,151",832,584,605,409,419
Operating Profit,10,14,6,-1,6,35,18,19,5,7,9,13,14
OPM %,22%,21%,7%,-1%,2%,5%,2%,2%,1%,1%,1%,3%,3%
Other Income +,5,5,3,4,4,39,7,5,5,5,6,5,3
Interest,0,0,1,1,1,2,4,3,5,6,3,4,5
Depreciation,2,3,7,4,1,28,2,2,2,4,3,1,1
Profit before tax,12,16,1,-2,7,43,19,20,3,2,9,12,11
Tax %,18%,31%,-140%,194%,13%,5%,29%,30%,-81%,1%,4%,-3%,
Net Profit,10,11,3,2,6,42,13,14,6,2,8,13,11
EPS in Rs,6.84,7.46,2.07,1.40,4.05,28.18,9.01,9.32,3.84,1.43,5.66,8.70,7.25
