,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,"1,575","1,835","1,938","1,928","2,211","2,407","2,258","2,345","2,553","2,159","2,038","2,695","3,161"
Expenses +,"1,403","1,608","1,765","1,729","1,988","2,174","2,023","2,101","2,318","2,013","1,951","2,519","2,969"
Operating Profit,172,227,173,198,223,233,235,244,236,146,88,176,192
OPM %,11%,12%,9%,10%,10%,10%,10%,10%,9%,7%,4%,7%,6%
Other Income +,32,20,22,-34,62,36,176,155,136,23,41,61,70
Interest,24,38,40,43,47,45,44,46,50,51,40,34,37
Depreciation,55,67,79,84,106,114,106,118,126,128,120,129,132
Profit before tax,125,142,77,38,133,109,261,235,195,-10,-31,74,93
Tax %,25%,28%,36%,-20%,28%,29%,30%,37%,41%,-5%,-93%,52%,
Net Profit,95,103,49,47,97,79,182,149,116,-10,-60,35,42
EPS in Rs,49.01,50.23,26.88,30.42,49.69,45.90,93.41,91.25,72.65,-1.91,-35.42,16.91,21.76
